n,title,author,rating,num_ratings,num_reviews,descrip,binding,edition,pages,published_on,genres
100000,"
      The Best American Political Writing 2004: Special Election Year Edition
",Royce Flippin,"
  4.18
","

  11
  ratings
","

    1
    review
","The Best American Political Writing 2004 preserves the most incisive, controversial, and entertaining writing about the notable events and people of 2003 and the first half of 2004. The past twelve months have provided no shortage of topics for heated political conversation. From Saddam's capture to Arnold's victory in the California recall election; from the controversy over Iraq's weapons of mass destruction to the contest for the Democratic presidential nomination, 2004 provided an excess of political fodder for commentary from all sides. Selections from the country's finest political writers, including Al Franken, Ron Suskind, Jonathan Chait, Jeffrey Toobin, George Will, Paul Krugman, George Packer, Charles Krauthammer, William Safire, Molly Ivins, Franklin Foer, Spencer Ackerman, Robert Kagan, Bill Kristol, and many others can be found in this volume. Gathering the best writings from the nation's leading publications, including the New York Times , Washington Post , The New Yorker , The Nation , Atlantic Monthly , New Republic , Weekly Standard , Foreign Affairs , Vanity Fair and Salon.com , as well as from think tanks such as the American Enterprise Institute and the Brookings Institution, Flippin culls the best writing on the year's most talked-about topics.",Paperback,,400 pages,"
            Published
        September 20th 2004
         by PublicAffairs

            
              (first published 2004)
            
",['Politics']
100001,"
      Stephen Hawking's Universe
",John Boslough,"
  4.04
","

  674
  ratings
","

    31
    reviews
","Here is an intimate glimpse of the greatest scientist of our day, the brilliant physicist confined to a wheelchair whose A Brief History of Time has become the first worldwide scientific bestseller of the century. The story of Stephen Hawking's relentless quest for the secret of the origins of the universe will change forever the way you look at the stars . . . and your place among them.",Paperback,,127 pages,"
            Published
        1989
         by Fontana Paperbacks

            
              (first published July 1st 1984)
            
","['Science', 'Nonfiction', 'Science', 'Biography', 'Science']"
100002,"
      Beyond The Black Hole: Stephen Hawking's Universe
",John Boslough,"
  3.20
","

  10
  ratings
","

    0
    reviews
",,Hardcover,,144 pages,"
            Published
        1985
         by HarperCollins Publishers

      ","['Science', 'Nonfiction']"
100003,"
      Stephen Hawking's Life Works: The Cambridge Lectures
",Stephen Hawking,"
  4.38
","

  81
  ratings
","

    7
    reviews
",,Audio,,0 pages,"
            Published
        February 1st 1994
         by Audio Literature

            
              (first published 1994)
            
","['Science', 'Science', 'Nonfiction']"
100004,"
      Stephen Hawking: Understanding the Universe
",Gail Sakurai,"
  3.80
","

  5
  ratings
","

    0
    reviews
",,Hardcover,,30 pages,"
            Published
        September 1st 1996
         by Turtleback Books

      ",[]
100005,"
      In Search of Schrödinger's Cat
",John Gribbin,"
  4.02
","

  16,756
  ratings
","

    416
    reviews
","Quantum theory is so shocking that Einstein could not bring himself to accept it. It is so important that it provides the fundamental underpinning of all modern sciences. Without it, we'd have no computers, no science of molecular biology, no understanding of DNA, no genetic engineering.In Search of Schrodinger's Cat tells the complete story of quantum mechanics, a truth stranger than any fiction. John Gribbin takes us step by step into an even more bizarre and fascinating place, requiring only that we approach it with an open mind. He introduces the scientists who developed quantum theory. He investigates the atom, radiation, time travel, the birth of the universe, super conductors and life itself. And in a world full of its own delights, mysteries and surprises, he searches for Schrodinger's Cat - a search for quantum reality - as he brings every reader to a clear understanding of the most important area of scientific study today - quantum physics.In Search of Schrodinger's Cat is a fascinating and delightful introduction to the strange world of the quantum - an essential element in understanding today's world.",Paperback,,302 pages,"
            Published
        1991
         by Black Swan

            
              (first published September 1984)
            
","['Science', 'Nonfiction', 'Science', 'Science', 'Philosophy']"
100006,"
      Schrödinger's Kittens and the Search for Reality: Solving the Quantum Mysteries
",John Gribbin,"
  4.05
","

  1,430
  ratings
","

    58
    reviews
","In this eagerly anticipated sequel to the classic bestseller In Search of Schrodinger's Cat, John Gribbin digs even deeper into the mysterious and confounding world of quantum mechanics. Gribbin takes infinitely complex, mind-bending experiments, brings them to life, and makes them accessible to the lay reader. Under his deft guidance, we can begin to grasp the fundamental riddle of today's quantum mechanics: how a single photon can be seen going in two directions at once. Along the way, Gribbin reveals some fascinating discoveries: how quantum particles could one day be used in a Star Trek-type teleportation system, and how quantum cryptographers have developed ways of making unbreakable codes using quantum effects.Schrodinger's Kittens and the Search for Reality illuminates the world's most intriguing and enigmatic scientific phenomenon - and shows how the ""impossible dreams"" of such legendary scientists as Bohr, Feynman, and Einstein may soon become reality.",Paperback,,272 pages,"
            Published
        May 1996
         by Back Bay Books

            
              (first published 1984)
            
","['Science', 'Science', 'Nonfiction', 'Science']"
100007,"
      Detective Dog and the Search for Cat
",Sandi Hill,"
  3.50
","

  4
  ratings
","

    1
    review
",,Paperback,,16 pages,"
            Published
        March 1st 1998
         by Creative Teaching Press

      ",[]
100008,"
      In Search Of Cats
",Howard Loxton,"
  0.00
","

  0
  ratings
","

    0
    reviews
",,Unknown Binding,,94 pages,"
            Published
        1976
         by Excalibur Books

      ",[]
100009,"
      Reward, Lost Cat, The Search For Spock
",Donald Weiser,"
  0.00
","

  0
  ratings
","

    0
    reviews
",,Paperback,,,"
            Published
        
         by Booklocker.com

      ",[]
100010,"
      Beast of Never, Cat of God: The Search for the Eastern Puma
",Bob Butz,"
  3.22
","

  27
  ratings
","

    6
    reviews
",,Hardcover,,280 pages,"
            Published
        January 1st 2005
         by Lyons Press

      ","['Nonfiction', 'Science']"
100011,"
      In Search of Schopenhauer's Cat: Arthur Schopenhauer's Quantum-Mystical Theory of Justice
",Raymond B. Marcin,"
  3.43
","

  7
  ratings
","

    0
    reviews
","Arthur Schopenhauer's theory of justice is radical. Justice, inSchopenhauer's system of thought, is not an epistemologicalconstruct. It is neither rights based nor process based. It rejects theconcept of individual moral duty as vehemently as it embraces theconcept of collective moral guilt. For Schopenhauer, justice is not away of assessing reality. It is a facet of reality itself. Schopenhauer'stheory of justice is ontology - a study of being itself. In this bookRaymond B. Marcin offers several reasons why a review and areevaluation of Schopenhauer's theory of justice are worthwhile now, almost two hundred years after it was first formulated",Hardcover,,193 pages,"
            Published
        February 3rd 2006
         by Catholic University of America Press

            
              (first published February 2006)
            
",['Philosophy']
100012,"
      The Wonderful Journey Of Cameron Cat
",Marjorie Newman,"
  5.00
","

  1
  rating
","

    0
    reviews
",,Paperback,,,"
            Published
        May 4th 1998
         by Walker Books Ltd

      ",[]
100013,"
      Witches, Ghosts, And Goblins: A Spooky Search For Miranda's Cat
",Ruthanna Long,"
  4.53
","

  34
  ratings
","

    9
    reviews
",,,,,,"['Childrens', 'Childrens', 'Fantasy']"
100014,"
      Six Easy Pieces
",Walter Mosley,"
  4.07
","

  1,646
  ratings
","

    77
    reviews
","With the love of a good woman and two beautiful children, Easy Rawlins has put his past life of trading favors behind him. Following the loss of his best friend and sidekick, Mouse, he wants to set an example for his children by earning an honest living. But trouble has a way of finding Easy on the mean streets of Watts. Easy wanders from schoolhouse to whorehouse as he is drawn into investigating the torching of Sojourner Truth, the Junior High School where he works, then the turning over of a local garage and the death of a prostitute. But no man is an island... His job, his lover, his comfortable house and the children he cherishes all count for nothing when the phone rings and a woman asks if he knows where Mouse is. Easy soon discovers that Mouse is as much of a moral challenge dead as alive. Rich in character and place, the stories reveal the complex nature of the American experience ? the issues of class and race, hope and despair, light and darkness. Six Easy Pieces is confirmation that Mosley?s vision continues to stretch and redefine the American canon.",Paperback,,,"
            Published
        July 17th 2003
         by Serpent's Tail

            
              (first published 2003)
            
","['Mystery', 'Fiction', 'Short', 'Mystery', 'Cultural', 'Mystery']"
100015,"
      Bahama Crisis
",Desmond Bagley,"
  3.62
","

  426
  ratings
","

    16
    reviews
","Tom Mangan is the affluent proprietor of a number of luxury hotels in the Bahamas, whose future looks even brighter with the injection of fifty million dollars provided by a well-heeled Texan family. The day Mangan clinches the deal with his friend, Bill Cunningham, should be the happiest day of his life, but when his wife and daughter go missing at sea and a series of disasters befall his hotels, he begins to uncover a conspiracy to ruin him.",Audio Cassette,,,"
            Published
        
         by Chivers Audio Books

            
              (first published January 1st 1981)
            
","['Thriller', 'Fiction', 'Adventure', 'Mystery', 'Action', 'Suspense']"
100016,"
      Indian Philosophy: A Very Short Introduction
",Sue Hamilton,"
  3.52
","

  282
  ratings
","

    35
    reviews
","India has a long, rich, and diverse tradition of philosophical thought, spanning some two and a half millennia and encompassing several major religious traditions.In this intriguing introduction to Indian philosophy, the diversity of Indian thought is emphasized. It is structured around six schools of thought that have received classic status. Sue Hamilton explores how the traditions have attempted to understand the nature of reality in terms of inner or spiritual quest and introduces distinctively Indian concepts, such as karma and rebirth. She also explains how Indian thinkers have understood issues of reality and knowledge--issues that are also an important part of the Western philosophical tradition.About the Series: Combining authority with wit, accessibility, and style, Very Short Introductions offer an introduction to some of life's most interesting topics. Written by experts for the newcomer, they demonstrate the finest contemporary thinking about the central problems and issues in hundreds of key topics, from philosophy to Freud, quantum theory to Islam.",Paperback,,168 pages,"
            Published
        June 7th 2001
         by Oxford University Press, USA

            
              (first published February 22nd 2001)
            
","['Philosophy', 'Nonfiction', 'Religion', 'Cultural', 'Religion', 'Religion']"
100017,"
      Continental Philosophy: A Very Short Introduction
",Simon Critchley,"
  3.69
","

  638
  ratings
","

    67
    reviews
","In this enlightening new Very Short Introduction, Simon Critchley shows us that Continental philosophy encompasses a distinct set of philosophical traditions and practices, with a compelling range of problems all too often ignored by the analytic tradition. He discusses the ideas and approaches of philosophers such as Kant, Hegel, Nietzsche, Husserl, Heidegger, Sartre, Habermas, Foucault, and Derrida. He also introduces key concepts such as existentialism, nihilism, and phenomonology, by explaining their place in the Continental tradition. The perfect guide for anyone interested in the great philosophers, this volume explains in lucid, straightforward language the split between Continental and Anglo-American philosophy and the importance of acknowledging Continental philosophy. About the Series: Combining authority with wit, accessibility, and style, Very Short Introductions offer an introduction to some of life's most interesting topics. Written by experts for the newcomer, they demonstrate the finest contemporary thinking about the central problems and issues in hundreds of key topics, from philosophy to Freud, quantum theory to Islam.",Paperback,,149 pages,"
            Published
        June 7th 2001
         by Oxford University Press, USA

            
              (first published January 1st 2001)
            
","['Philosophy', 'Nonfiction', 'History']"
100018,"
      Political Philosophy: A Very Short Introduction
",David    Miller,"
  3.67
","

  816
  ratings
","

    64
    reviews
","This Very Short Introduction introduces readers to the key concepts of political philosophy: authority, democracy, freedom and its limits, justice, feminism, multiculturalism, and nationality. Accessibly written and assuming no previous knowledge of the subject, it encourages the reader to think clearly and critically about the leading political questions of our time.Miller first investigates how political philosophy tackles basic ethical questions such as 'how should we live together in society?' He furthermore looks at political authority, discusses the reasons society needs politics in the first place, explores the limitations of politics, and asks if there are areas of life that shouldn't be governed by politics. Moreover, he explores the connections between political authority and justice, a constant theme in political philosophy, and the ways in which social justice can be used to regulate rather than destroy a market economy.In his travels through this realm, Miller covers why nations are the natural units of government and wonders if the rise of multiculturalism and transnational co-operation will change all this, and asks in the end if we will ever see the formation of a world government.About the Series: Combining authority with wit, accessibility, and style, Very Short Introductions offer an introduction to some of life's most interesting topics. Written by experts for the newcomer, they demonstrate the finest contemporary thinking about the central problems and issues in hundreds of key topics, from philosophy to Freud, quantum theory to Islam.",Paperback,,147 pages,"
            Published
        2003
         by Oxford University Press

      ","['Philosophy', 'Politics', 'Nonfiction']"
100019,"
      Ancient Philosophy: A Very Short Introduction
",Julia Annas,"
  3.51
","

  371
  ratings
","

    42
    reviews
","The tradition of ancient philosophy is a long, rich and varied one, in which the notes of discussion and argument constantly resound. This book aims to introduce readers to some ancient debates and to get them to engage with the ancient developments of some themes. Getting away from the presentation of ancient philosophy as a succession of Great Thinkers, the book aims to give readers a sense of the freshness and liveliness of ancient philosophy, and of its wide variety of themes and styles.About the Author:Julia Annas is Professor of Philosophy at the University of Arizona and author of several books for OUP, including An Introduction to Platos Republic and The Morality of Happiness. She is also series editor for the Oxford Studies in Ancient Philosophy.",Paperback,,133 pages,"
            Published
        January 18th 2001
         by Oxford University Press, USA

            
              (first published October 12th 2000)
            
","['Philosophy', 'Nonfiction', 'History', 'Classics']"
100020,"
      Philosophy of Law: A Very Short Introduction
",Raymond Wacks,"
  3.66
","

  315
  ratings
","

    31
    reviews
","This lively and accessible introduction to the social, moral, and cultural foundations of law takes a broad scope-- spanning philosophy, law, politics, and economics, and discussing a range of topics including women's rights, racism, the environment, and recent international issues such as the war in Iraq and the treatment of terror suspects. Revealing the intriguing and challenging nature of legal philosophy with clarity and enthusiasm, Raymond Wacks explores the notion of law and its role in our lives. Referring to key thinkers from the classical world to the modern, he looks at the central questions behind legal theory that have always fascinated lawyers and philosophers, as well as anyone who ever wondered about law's relation to justice, morality, and democracy. About the Series: Combining authority with wit, accessibility, and style, Very Short Introductions offer an introduction to some of life's most interesting topics. Written by experts for the newcomer, they demonstrate the finest contemporary thinking about the central problems and issues in hundreds of key topics, from philosophy to Freud, quantum theory to Islam.",Paperback,,127 pages,"
            Published
        June 22nd 2006
         by Oxford University Press, USA

            
              (first published January 1st 2006)
            
","['Philosophy', 'Law', 'Nonfiction', 'Politics']"
100021,"
      What Does It All Mean? A Very Short Introduction to Philosophy
",Thomas Nagel,"
  3.65
","

  2,366
  ratings
","

    224
    reviews
","In this cogent and accessible introduction to philosophy, the distinguished author of Mortal Questions and The View From Nowhere sets forth the central problems of philosophical inquiry for the beginning student. Arguing that the best way to learn about philosophy is to think about its questions directly, Thomas Nagel considers possible solutions to nine problems--knowledge of the world beyond our minds, knowledge of other minds, the mind-body problem, free will, the basis of morality, right and wrong, the nature of death, the meaning of life, and the meaning of words. Although he states his own opinions clearly, Nagel leaves these fundamental questions open, allowing students to entertain other solutions and encouraging them to think for themselves.",Paperback,,112 pages,"
            Published
        October 15th 1987
         by Oxford University Press, USA

      ","['Philosophy', 'Nonfiction', 'Academic', 'Academic', 'Humanities', 'Classics', 'Textbooks', 'Philosophy', 'Education', 'Reference']"
100022,"
      Quantum Physics: A Beginner's Guide
",Alastair I.M. Rae,"
  3.76
","

  346
  ratings
","

    21
    reviews
",,Paperback,,240 pages,"
            Published
        July 1st 2005
         by Oneworld Publications

      ","['Science', 'Science', 'Nonfiction', 'Physics']"
100023,"
      The Quantum World:
",Kenneth W. Ford,"
  3.95
","

  397
  ratings
","

    39
    reviews
","As Kenneth W. Ford shows us in The Quantum World, the laws governing the very small and the very swift defy common sense and stretch our minds to the limit. Drawing on a deep familiarity with the discoveries of the twentieth century, Ford gives an appealing account of quantum physics that will help the serious reader make sense of a science that, for all its successes, remains mysterious. In order to make the book even more suitable for classroom use, the author, assisted by Diane Goldstein, has included a new section of Quantum Questions at the back of the book. A separate answer manual to these 300+ questions is available; visit The Quantum World website for ordering information.There is also a cloth edition of this book, which does not include the ""Quantum Questions"" included in this paperback edition.",Paperback,,330 pages,"
            Published
        August 1st 2005
         by Harvard University Press

            
              (first published April 20th 2004)
            
","['Science', 'Science', 'Nonfiction', 'Physics']"
100024,"
      Quantum Physics of Atoms, Molecules, Solids, Nuclei, and Particles
",Robert M. Eisberg,"
  4.00
","

  225
  ratings
","

    13
    reviews
","A revision of a successful junior/senior level text, this introduction to elementary quantum mechanics clearly explains the properties of the most important quantum systems. Emphasizes the applications of theory, and contains new material on particle physics, electron-positron annihilation in solids and the Mossbauer effect. Includes new appendices on such topics as crystallography, Fourier Integral Description of a Wave Group, and Time-Independent Perturbation Theory.",Hardcover,,864 pages,"
            Published
        February 14th 1985
         by Wiley

            
              (first published January 1st 1974)
            
","['Science', 'Science', 'Nonfiction', 'Textbooks']"
100025,"
      An Introduction to Quantum Physics
",Anthony P. French,"
  3.95
","

  42
  ratings
","

    3
    reviews
",,Paperback,,670 pages,"
            Published
        December 2nd 1979
         by CRC Press

            
              (first published April 1st 1978)
            
","['Science', 'Reference', 'Engineering', 'Nonfiction', 'Textbooks', 'Science']"
100026,"
      Mathematics of Classical and Quantum Physics
",Frederick W. Byron Jr.,"
  4.26
","

  134
  ratings
","

    4
    reviews
","This textbook is designed to complement graduate-level physics texts in classical mechanics, electricity, magnetism, and quantum mechanics. Organized around the central concept of a vector space, the book includes numerous physical applications in the body of the text as well as many problems of a physical nature. It is also one of the purposes of this book to introduce the physicist to the language and style of mathematics as well as the content of those particular subjects with contemporary relevance in physics.Chapters 1 and 2 are devoted to the mathematics of classical physics. Chapters 3, 4 and 5 — the backbone of the book — cover the theory of vector spaces. Chapter 6 covers analytic function theory. In chapters 7, 8, and 9 the authors take up several important techniques of theoretical physics — the Green's function method of solving differential and partial differential equations, and the theory of integral equations. Chapter 10 introduces the theory of groups. The authors have included a large selection of problems at the end of each chapter, some illustrating or extending mathematical points, others stressing physical application of techniques developed in the text.Essentially self-contained, the book assumes only the standard undergraduate preparation in physics and mathematics, i.e. intermediate mechanics, electricity and magnetism, introductory quantum mechanics, advanced calculus and differential equations. The text may be easily adapted for a one-semester course at the graduate or advanced undergraduate level.",Paperback,,672 pages,"
            Published
        August 20th 1992
         by Dover Publications

            
              (first published January 1st 1969)
            
","['Science', 'Science', 'Science', 'Reference', 'Nonfiction']"
100027,"
      Quantum Enigma: Physics Encounters Consciousness
",Bruce Rosenblum,"
  4.11
","

  1,865
  ratings
","

    144
    reviews
","The most successful theory in all of science - and the basis of one third of our economy - says the strangest things about the world and about us. Can you believe that physical reality is created by our observation of it? Physicists were forced to this conclusion, the quantum enigma, by what they observed in their laboratories. Trying to understand the atom, physicists built quantum mechanics and found, to their embarrassment, that their theory intimately connects consciousness with the physical world. Quantum Enigma explores what that implies and why some founders of the theory became the foremost objectors to it. Schrodinger showed that it absurdly allowed a cat to be in a superposition simultaneously dead and alive. Einstein derided the theory's spooky interactions. With Bell's Theorem, we now know Schrodinger's superpositions and Einstein's spooky interactions indeed exist. Authors Bruce Rosenblum and Fred Kuttner explain all of this in non-technical terms with help from some fanciful stories and bits about the theory's developers. They present the quantum mystery honestly, with an emphasis on what is and what is not speculation. the authors open the closet and examine the skeleton, theirs is a controversial book. Quantum Enigma's description of the experimental quantum facts, and the quantum theory explaining them, is undisputed. Interpreting what it all means, however, is controversial. Every interpretation of quantum physics encounters consciousness. Rosenblum and Kuttner therefore turn to exploring consciousness itself - and encounter quantum physics. Free will and anthropic principles become crucial issues, and the connection of consciousness with the cosmos suggested by some leading quantum cosmologists is mind-blowing. Readers are brought to a boundary where the particular expertise of physicists is no longer a sure guide. They will find, instead, the facts and hints provided by quantum mechanics and the ability to speculate for themselves.",Hardcover,,211 pages,"
            Published
        June 1st 2006
         by Oxford University Press, USA

            
              (first published 2006)
            
","['Science', 'Science', 'Nonfiction', 'Philosophy', 'Physics']"
100028,"
      Quantum Physics: A First Encounter: Interference, Entanglement, and Reality
",Valerio Scarani,"
  3.85
","

  27
  ratings
","

    5
    reviews
","Quantum physics is often perceived as a weird and abstract theory, which physicists must use in order to make correct predictions. But many recent experiments have shown that the weirdness of the theory simply mirrors the weirdness of phenomena: it is Nature itself, and not only our description of it, that behaves in an astonishing way. This book selects those, among these typical quantum phenomena, whose rigorous description requires neither the formalism, nor an important background in physics.The first part of the book deals with the phenomenon of single-particle interference, covering the historical questions of wave-particle duality, objective randomness and the boundary between the quantum and the classical world, but also the recent idea of quantum cryptography. The second part introduces the modern theme of entanglement, by presenting two-particle interference phenomena and discussing Bell's inequalities. A concise review of the main interpretations of quantum physics is provided.",Hardcover,,125 pages,"
            Published
        March 1st 2006
         by Oxford University Press, USA

            
              (first published 2006)
            
","['Science', 'Science']"
100029,"
      The Physics of Quantum Information: Quantum Cryptography, Quantum Teleportation, Quantum Computation
",Dirk Bouwmeester,"
  3.73
","

  11
  ratings
","

    3
    reviews
","Leading experts from ""The Physics of Quantum Information"" network, initiated by the European Commission, bring together the most recent results from this emerging area of quantum technology. Written in a consistent style as a research monograph, the book introduces quantum cryptography, quantum teleportation, and quantum computation, considering both theory and newest experiments. Both scientists working in the field and advanced students will find a rich source of information on this exciting new area.",Hardcover,,315 pages,"
            Published
        May 19th 2000
         by Springer

      ","['Science', 'Nonfiction']"
100030,"
      PSIence: How New Discoveries in Quantum Physics and New Science May Explain the Mysteries of Paranormal Phenomenom
",Marie D. Jones,"
  3.72
","

  82
  ratings
","

    14
    reviews
","Are poltergeists energy fluctuations in the Zero Point Field?Could even the simple experience of déjà vu be explained by the quantum theory of parallel universes?Do thoughts have the energy to manifest and move physical objects?PSIence introduces readers to the latest discoveries in quantum physics and New Science that may explain the existence of paranormal phenomena--UFOs, ghosts, poltergeists, mysterious apparitions, time anomalies, the Bermuda Triangle, energy vortices--and psychic abilities such as ESP, telekinesis, remote viewing, and recalling past lives.You'll explore the cutting-edge ideas that are fascinating both scientists and paranormal investigators, including:The latest theories of multiple universes and eleven dimensions.The Zero Point Field--is it the potential source of all creative energy?The potential of every human being to experience the paranormalMany of the world's leading scientists, researchers, philosophers and spiritual leaders--from noted physicists like Michio Kaku to the revered Dalai Lama--are beginning to accept the possibility of alternate realities and dimensions that warp time and space. PSIence takes the reader on a journey to where the ""normal"" and the paranormal intersect, where the known and unknown converge, where science greets the supernatural.",Paperback,,256 pages,"
            Published
        November 15th 2006
         by New Page Books

      ","['Fantasy', 'Nonfiction', 'Science', 'Occult']"
100031,"
      The Probable Universe: An Owner's Guide to Quantum Physics
",M.Y. Han,"
  3.50
","

  2
  ratings
","

    0
    reviews
",,Paperback,,146 pages,"
            Published
        November 15th 1992
         by Tab Books

            
              (first published 1992)
            
",[]
